 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1655063132652.58227539062,,,,,,16205,-5620,1361,14844,
 1655063132703.24145507812,,,,,,16272,1743,1492,14780,
 1655063132718.07299804687,-0.62438964843,0.94482421875,-0.33068847656,,,,,,,,
 1655063132752.61889648437,,,,,,16012,3764,1264,14748,
 1655063132769.12890625,,,,,,15613,4242,897,14716,
 1655063132804.529296875,-0.71850585937,0.79187011718,-0.76916503906,,,,,,,,
 1655063132808.71020507812,,,,,,15457,3200,773,14684,
 1655063132849.35961914062,,,,75,0,,,,
 1655063132855.40209960937,,,,,,15321,553,669,14652,
 1655063132895.89892578125,-0.72692871093,0.42138671875,-1.18420410156,,,,,,,,
 1655063132902.70434570312,,,,,,15276,-3067,656,14620,
 1655063132940.69873046875,,,,,,15323,-11876,767,14556,
 1655063132958.00219726562,-0.74243164062,0.35498046875,-1.00463867187,,,,,,,,
 1655063132985.16284179687,,,,,,15357,-15680,833,14524,
 1655063133004.54150390625,,,,,,15053,-18544,561,14492,
 1655063133062.00610351562,,,,,,,,,,103
 1655063133065.08837890625,-0.75476074218,-0.37756347656,-0.27355957031,,,,,,,,
 1655063133095.14819335937,,,,,,14753,-20156,293,14460,
 1655063133105.5546875,,,,,,14396,-19109,328,14428,
 1655063133143.48803710937,-0.74072265625,0.43371582031,-0.17858886718,,,,,,,,
 1655063133147.82153320312,,,,,,14364,-16850,2355,12009,
 1655063133188.28784179687,,,,,,14332,-14004,2460,11872,
 1655063133199.24365234375,-0.720703125,1.46655273437,-0.63879394531,,,,,,,,
 1655063133232.751953125,,,,,,14262,-11154,2422,11840,
 1655063133281.30541992187,-0.55053710937,0.91650390625,-0.62841796875,,,,,,,,
 1655063133285.3642578125,,,,,,14266,-7247,2490,11776,
 1655063133330.74389648437,,,,,,14199,-6935,2455,11744,
 1655063133341.45556640625,,,,,,14204,-7927,2492,11712,
 1655063133374.353515625,,,,81,0,,,,
 1655063133380.64013671875,-0.70910644531,0.54406738281,-0.60046386718,,,,,,,,
 1655063133432.5810546875,,,,,,14606,-9656,2926,11680,
 1655063133442.5908203125,-1.01135253906,0.22668457031,-0.67395019531,,,,,,,,
