 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1654529753247.73217773437,,,,,,7358,15924,3679,0,
 1654529753288.10693359375,,,,,,7390,13054,3695,0,
 1654529753301.56518554687,-0.84313964843,0.42761230468,-0.21813964843,,,,,,,,
 1654529753328.0849609375,,,,,,7422,9647,3711,0,
 1654529753368.79541015625,,,,,,7422,5912,3711,0,
 1654529753381.76538085937,-0.85693359375,0.41516113281,-0.32788085937,,,,,,,,
 1654529753409.10913085937,,,,,,7422,2490,3711,0,
 1654529753448.84301757812,,,,,,7390,-684,3695,0,
 1654529753461.93505859375,-0.83422851562,0.40625,-0.40197753906,,,,,,,,
 1654529753489.18725585937,,,,,,7390,-3447,3695,0,
 1654529753529.37890625,,,,,,7390,-5711,3695,0,
 1654529753541.49438476562,-0.83203125,0.35095214843,-0.47302246093,,,,,,,,
 1654529753569.72314453125,,,,,,7422,-7200,3711,0,
 1654529753609.97583007812,,,,,,7422,-8359,3711,0,
 1654529753621.69458007812,-0.80383300781,0.30432128906,-0.48120117187,,,,,,,,
 1654529753650.77783203125,,,,,,7422,-9310,3711,0,
 1654529753702.16943359375,,,,82,100,,,,
 1654529753705.22119140625,,,,,,,,,,82
 1654529753708.97485351562,,,,86,100,,,,
 1654529753712.02661132812,,,,,,,,,,86
 1654529753714.89526367187,,,,,,7486,-9752,3743,0,
 1654529753745.443359375,-0.85327148437,0.19616699218,-0.43395996093,,,,,,,,
 1654529753749.50219726562,,,,,,7534,-9762,3767,0,
 1654529753771.2001953125,,,,,,7550,-9400,3775,0,
 1654529753781.63720703125,-0.94934082031,0.14575195312,-0.47021484375,,,,,,,,
 1654529753812.67358398437,,,,,,7606,-8817,3803,0,
 1654529753861.5322265625,-1.05871582031,0.27844238281,-0.53198242187,,,,,,,,
 1654529753891.95825195312,,,,,,7542,-8044,1301,2470,
 1654529753932.0888671875,,,,,,7478,-7087,1335,2404,
 1654529753941.732421875,-1.1357421875,0.30285644531,-0.52954101562,,,,,,,,
 1654529754012.59423828125,,,,,,7430,-5930,1343,2372,
 1654529754021.41381835937,-1.05603027343,0.27978515625,-0.42822265625,,,,,,,,
 1654529754053.27416992187,,,,,,7314,-4727,1317,2340,
 1654529754093.13012695312,,,,,,7230,-3400,1307,2308,
 1654529754101.64453125,-1.05737304687,0.30346679687,-0.31848144531,,,,,,,,
 1654529754174.61206054687,,,,,,7158,-2041,1303,2276,
 1654529754187.91772460937,,,,,,7102,-704,1307,2244,
 1654529754213.94921875,,,,,,7058,515,1317,2212,
 1654529754254.232421875,,,,,,7006,1553,1323,2180,
 1654529754261.77026367187,-0.97204589843,0.25012207031,-0.25402832031,,,,,,,,
 1654529754294.45458984375,,,,,,6918,2334,1311,2148,
 1654529754334.70727539062,,,,,,6846,2881,1307,2116,
