 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1655063128955.58349609375,0.42956542968,0.54528808593,-0.98779296875,,,,,,,,
 1655063128959.85595703125,,,,,,5438,3029,2719,0,
 1655063128993.486328125,,,,,,5550,5263,2775,0,
 1655063129037.431640625,0.47033691406,0.47741699218,-0.95263671875,,,,,,,,
 1655063129041.73461914062,,,,,,5662,7121,2831,0,
 1655063129075.8837890625,,,,,,5790,8328,2895,0,
 1655063129119.89013671875,0.271484375,0.43005371093,-0.91015625,,,,,,,,
 1655063129124.13208007812,,,,,,5822,8685,2911,0,
 1655063129159.10522460937,,,,,,5726,8082,2863,0,
 1655063129163.896484375,,,,45,75,,,,
 1655063129192.705078125,-0.00988769531,0.38818359375,-0.79333496093,,,,,,,,
 1655063129240.37353515625,,,,,,5502,6519,2751,0,
 1655063129279.06982421875,-0.2119140625,0.54992675781,-0.8359375,,,,,,,,
 1655063129285.29541015625,,,,,,5438,4246,2719,0,
 1655063129323.10668945312,,,,,,5374,1473,2687,0,
 1655063129352.7392578125,-0.02587890625,0.65246582031,-0.97875976562,,,,,,,,
 1655063129364.48852539062,,,,,,5422,-1455,2711,0,
 1655063129405.13793945312,,,,,,5470,-4306,2735,0,
 1655063129432.72583007812,0.37780761718,0.59509277343,-0.96923828125,,,,,,,,
 1655063129446.58081054687,,,,,,5502,-6743,2751,0,
 1655063129526.50634765625,,,,,,5630,-8574,2815,0,
 1655063129537.67578125,,,,,,5846,-9684,2923,0,
 1655063129570.11596679687,,,,,,5982,-10125,2991,0,
 1655063129592.69897460937,0.23754882812,0.39965820312,-0.81530761718,,,,,,,,
 1655063129611.19262695312,,,,,,5998,-10006,2999,0,
 1655063129652.177734375,,,,,,5870,-9494,2935,0,
 1655063129672.89916992187,-0.07153320312,0.31140136718,-0.75854492187,,,,,,,,
 1655063129693.681640625,,,,,,5678,-8782,2839,0,
 1655063129734.54467773437,,,,,,5498,-8184,2749,0,
 1655063129752.8857421875,-0.35229492187,0.50268554687,-0.80615234375,,,,,,,,
 1655063129776.0791015625,,,,,,5374,-7860,2687,0,
 1655063129816.91162109375,,,,,,5342,-7830,2671,0,
 1655063129832.65869140625,-0.30285644531,0.68151855468,-0.86682128906,,,,,,,,
 1655063129858.3544921875,,,,,,5358,-8164,2679,0,
 1655063129899.4921875,,,,,,5422,-8821,2711,0,
 1655063129912.82836914062,0.10778808593,0.62426757812,-0.88269042968,,,,,,,,
 1655063129948.71704101562,,,,,,,,,,103
 1655063129951.55517578125,,,,,,5374,-9811,2687,0,
